"Tabela 4714 - População Residente, Área territorial e Densidade demográfica",,
Ano - 2022,,
Brasil e Unidade da Federação,Variável,
,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados)
Brasil,203062512,8510418
Rondônia,1581016,237754
Acre,830026,164173
Amazonas,3941175,1559256
Roraima,636303,223645
Pará,8116132,1245871
Amapá,733508,142471
Tocantins,1511459,277424
Maranhão,6775152,329651
Piauí,3269200,251755
Ceará,8791688,148894
Rio Grande do Norte,3302406,52810
Paraíba,3974495,56467
Pernambuco,9058155,98068
Alagoas,3127511,27831
Sergipe,2209558,21938
Bahia,14136417,564760
Minas Gerais,20538718,586514
Espírito Santo,3833486,46074
Rio de Janeiro,16054524,43750
São Paulo,44420459,248219
Paraná,11443208,199299
Santa Catarina,7609601,95731
Rio Grande do Sul,10880506,281707
Mato Grosso do Sul,2756700,357142
Mato Grosso,3658813,903208
Goiás,7055228,340243
Distrito Federal,2817068,5761
Fonte: IBGE - Censo Demográfico,,
